task,shift_type,holdout,repeat,policy,epsilon,policy_constructed,calibration_coverage,calibration_ucb95,ood_coverage,ood_retained_mae,risk_violation,risk_breach,coverage_failure,operational_failure
log_kvrh,element,Si,0,geometry_descriptor_distance,0.15,True,1.0,0.1068589957404779,1.0,0.0843288313752018,-0.0656711686247981,False,False,False
log_kvrh,element,Si,0,geometry_rf_distance_hybrid,0.15,True,1.0,0.1079104133178171,1.0,0.0843288313752018,-0.0656711686247981,False,False,False
log_kvrh,element,Si,0,geometry_rf_ensemble_std,0.15,True,1.0,0.1075898225092123,1.0,0.0843288313752018,-0.0656711686247981,False,False,False
log_kvrh,element,Si,1,geometry_descriptor_distance,0.15,True,1.0,0.1089969719901772,1.0,0.0846789974135329,-0.065321002586467,False,False,False
log_kvrh,element,Si,1,geometry_rf_distance_hybrid,0.15,True,1.0,0.1088663826559667,1.0,0.0846789974135329,-0.065321002586467,False,False,False
log_kvrh,element,Si,1,geometry_rf_ensemble_std,0.15,True,1.0,0.1094309919378235,1.0,0.0846789974135329,-0.065321002586467,False,False,False
log_kvrh,element,Si,2,geometry_descriptor_distance,0.15,True,1.0,0.1086064889052697,1.0,0.0895817964351053,-0.0604182035648946,False,False,False
log_kvrh,element,Si,2,geometry_rf_distance_hybrid,0.15,True,1.0,0.1086625131384837,1.0,0.0895817964351053,-0.0604182035648946,False,False,False
log_kvrh,element,Si,2,geometry_rf_ensemble_std,0.15,True,1.0,0.1079400076014023,1.0,0.0895817964351053,-0.0604182035648946,False,False,False
log_kvrh,element,Si,3,geometry_descriptor_distance,0.15,True,1.0,0.1091817163537353,1.0,0.0840267680000094,-0.0659732319999906,False,False,False
log_kvrh,element,Si,3,geometry_rf_distance_hybrid,0.15,True,1.0,0.1095295860335166,1.0,0.0840267680000094,-0.0659732319999906,False,False,False
log_kvrh,element,Si,3,geometry_rf_ensemble_std,0.15,True,1.0,0.1097249437180045,1.0,0.0840267680000094,-0.0659732319999906,False,False,False
log_kvrh,element,Si,4,geometry_descriptor_distance,0.15,True,1.0,0.1057426121727998,1.0,0.0868231790863823,-0.0631768209136176,False,False,False
log_kvrh,element,Si,4,geometry_rf_distance_hybrid,0.15,True,1.0,0.1049576233881853,1.0,0.0868231790863823,-0.0631768209136176,False,False,False
log_kvrh,element,Si,4,geometry_rf_ensemble_std,0.15,True,1.0,0.1058846814072059,1.0,0.0868231790863823,-0.0631768209136176,False,False,False
