task,shift_type,holdout,repeat,policy_geometry,epsilon_geometry,policy_constructed_geometry,calibration_coverage_geometry,calibration_ucb95_geometry,ood_coverage_geometry,ood_retained_mae_geometry,risk_violation_geometry,risk_breach_geometry,coverage_failure_geometry,operational_failure_geometry,baseline_policy,seed,policy_composition,epsilon_composition,primary_tolerance,policy_constructed_composition,calibration_coverage_composition,calibration_ucb95_composition,ood_coverage_composition,ood_retained_mae_composition,risk_violation_composition,risk_breach_composition,coverage_failure_composition,operational_failure_composition,ood_spearman,ood_aurc,ood_excess_aurc,shift_median_distance,shift_p90_distance,fraction_beyond_train_p99,element_novelty_fraction,delta_policy_constructed,delta_ood_coverage,delta_ood_retained_mae,delta_risk_violation,delta_operational_failure
log_kvrh,cluster,C1,3,geometry_rf_distance_hybrid,0.15,True,1.0,0.1324244842956801,0.9747833958360276,0.2132509315011964,0.0632509315011964,True,False,True,rf_distance_hybrid,20260727,rf_distance_hybrid,0.15,True,True,0.7,0.1491107846694956,0.0726755463597568,0.1685520398827956,0.0185520398827956,True,True,True,0.3252889981020761,0.219353490095966,0.0971163888551171,9.140138899660988,15.129746478179433,0.4066985645933014,0.0,0.0,0.9021078494762708,0.04469889161840079,0.0446988916184008,0.0
log_kvrh,cluster,C1,3,geometry_rf_ensemble_std,0.15,True,1.0,0.1346740605708936,0.9965084701926809,0.2132601582405389,0.0632601582405389,True,False,True,rf_ensemble_std,20260727,rf_ensemble_std,0.15,True,True,0.919672131147541,0.1492629465763353,0.853743695848959,0.2598036711571529,0.1098036711571529,True,False,True,0.2914099495064896,0.2259868941331446,0.1037497928922957,9.140138899660988,15.129746478179433,0.4066985645933014,0.0,0.0,0.1427647743437218,-0.046543512916614016,-0.04654351291661399,0.0
log_kvrh,cluster,C1,4,geometry_descriptor_distance,0.15,True,1.0,0.1454945525102747,0.8139143928617613,0.2093406307659003,0.0593406307659003,True,False,True,descriptor_distance,20260728,descriptor_distance,0.15,True,False,0.0,,0.0,,,,False,False,0.2770661251532118,0.2542650501430771,0.1165659479259697,9.072471646462184,14.710472815708878,0.4198887883098409,0.0,1.0,0.8139143928617613,,,1.0
log_kvrh,cluster,C1,4,geometry_rf_distance_hybrid,0.15,True,1.0,0.1473203151918201,0.9758179231863442,0.2218279423759389,0.0718279423759389,True,False,True,rf_distance_hybrid,20260728,rf_distance_hybrid,0.15,True,True,0.7398753894080997,0.1496864628054736,0.1103064787275313,0.1945789895592983,0.0445789895592983,True,True,True,0.297607254842393,0.2486229452964351,0.1109238430793278,9.072471646462184,14.710472815708878,0.4198887883098409,0.0,0.0,0.8655114444588129,0.02724895281664058,0.027248952816640595,0.0
log_kvrh,cluster,C1,4,geometry_rf_ensemble_std,0.15,True,1.0,0.1460841773204108,1.0,0.2264349888077171,0.0764349888077171,True,False,True,rf_ensemble_std,20260728,rf_ensemble_std,0.15,True,True,0.8598130841121495,0.1471390547990921,0.7826199405146773,0.2885397400667333,0.1385397400667333,True,False,True,0.2368157777647823,0.2585263639044751,0.1208272616873677,9.072471646462184,14.710472815708878,0.4198887883098409,0.0,0.0,0.21738005948532269,-0.06210475125901618,-0.06210475125901621,0.0
log_kvrh,cluster,C2,0,geometry_descriptor_distance,0.15,True,1.0,0.0906788057862787,1.0,0.1868931610250156,0.0368931610250156,True,False,True,descriptor_distance,20260724,descriptor_distance,0.15,True,True,1.0,0.1046496199893328,1.0,0.2343066640174573,0.0843066640174573,True,False,True,0.0311424384554326,0.2401284358048837,0.1362687885866407,6.930513830452629,8.625504494035644,0.1321971441731921,0.0,0.0,0.0,-0.04741350299244171,-0.0474135029924417,0.0
log_kvrh,cluster,C2,0,geometry_rf_distance_hybrid,0.15,True,1.0,0.0907167438005233,0.9995393827729157,0.1868205410939987,0.0368205410939987,True,False,True,rf_distance_hybrid,20260724,rf_distance_hybrid,0.15,True,True,1.0,0.1043019236171992,0.9801934592353754,0.2333627787743496,0.0833627787743496,True,False,True,0.1085673836208683,0.2184555855236493,0.1145959383054063,6.930513830452629,8.625504494035644,0.1321971441731921,0.0,0.0,0.019345923537540277,-0.0465422376803509,-0.046542237680350894,0.0
log_kvrh,cluster,C2,0,geometry_rf_ensemble_std,0.15,True,1.0,0.0906379719006176,1.0,0.1868931610250156,0.0368931610250156,True,False,True,rf_ensemble_std,20260724,rf_ensemble_std,0.15,True,True,1.0,0.1057192311794992,1.0,0.2343066640174573,0.0843066640174573,True,False,True,0.1144739324931359,0.2127219141882931,0.10886226697005,6.930513830452629,8.625504494035644,0.1321971441731921,0.0,0.0,0.0,-0.04741350299244171,-0.0474135029924417,0.0
log_kvrh,cluster,C2,1,geometry_descriptor_distance,0.15,True,1.0,0.0960758077783762,0.994011976047904,0.1892386462564843,0.0392386462564843,True,False,True,descriptor_distance,20260725,descriptor_distance,0.15,True,True,1.0,0.1086073448578621,0.974666052510364,0.2273328885304703,0.0773328885304703,True,False,True,0.0677968806703311,0.2227328268144422,0.1325077277357783,7.099854397340094,8.780732794104383,0.220175034546292,0.0,0.0,0.019345923537540055,-0.038094242273986,-0.038094242273985994,0.0
log_kvrh,cluster,C2,1,geometry_rf_distance_hybrid,0.15,True,1.0,0.0963187402735367,0.9972362966374942,0.1891351412979985,0.0391351412979985,True,False,True,rf_distance_hybrid,20260725,rf_distance_hybrid,0.15,True,True,1.0,0.1087908251486298,0.9990787655458314,0.2266835992096162,0.0766835992096162,True,False,True,0.0246129893272957,0.2215585830647706,0.1313334839861067,7.099854397340094,8.780732794104383,0.220175034546292,0.0,0.0,-0.0018424689083371693,-0.037548457911617705,-0.037548457911617705,0.0
log_kvrh,cluster,C2,1,geometry_rf_ensemble_std,0.15,True,1.0,0.0963675133102835,1.0,0.1892872303582878,0.0392872303582877,True,False,True,rf_ensemble_std,20260725,rf_ensemble_std,0.15,True,True,1.0,0.1085884422588028,0.99677567941041,0.2258182960655375,0.0758182960655375,True,False,True,0.0258854026911605,0.2218188836922603,0.1315937846135964,7.099854397340094,8.780732794104383,0.220175034546292,0.0,0.0,0.0032243205895899907,-0.036531065707249705,-0.0365310657072498,0.0
log_kvrh,cluster,C2,2,geometry_descriptor_distance,0.15,True,1.0,0.0976651950391195,1.0,0.1896069857201624,0.0396069857201624,True,False,True,descriptor_distance,20260726,descriptor_distance,0.15,True,True,1.0,0.1094125522341225,1.0,0.2335342983988453,0.0835342983988453,True,False,True,0.0801017482572821,0.2310802422308266,0.1338521893618125,7.08666796520445,8.706935138134819,0.1851681252878857,0.0,0.0,0.0,-0.043927312678682884,-0.0439273126786829,0.0
log_kvrh,cluster,C2,2,geometry_rf_distance_hybrid,0.15,True,1.0,0.0983663020978679,0.99355135882082,0.1895239867140402,0.0395239867140402,True,False,True,rf_distance_hybrid,20260726,rf_distance_hybrid,0.15,True,True,1.0,0.1101629252890207,0.9677567941040996,0.232045544824118,0.082045544824118,True,False,True,0.1294561599048325,0.213236956938058,0.1160089040690439,7.08666796520445,8.706935138134819,0.1851681252878857,0.0,0.0,0.02579456471672037,-0.042521558110077795,-0.042521558110077795,0.0
log_kvrh,cluster,C2,2,geometry_rf_ensemble_std,0.15,True,1.0,0.0983640789867032,1.0,0.1896069857201624,0.0396069857201624,True,False,True,rf_ensemble_std,20260726,rf_ensemble_std,0.15,True,True,1.0,0.1102703052535444,0.9958544449562412,0.2335198897644209,0.0835198897644209,True,False,True,0.1371995601115013,0.2095348346655849,0.1123067817965709,7.08666796520445,8.706935138134819,0.1851681252878857,0.0,0.0,0.004145555043758797,-0.04391290404425849,-0.0439129040442585,0.0
