task,holdout_family,repeat,seed,split_hash,policy,epsilon,n_train,n_calibration,n_ood,policy_constructed,threshold,calibration_coverage,calibration_mae,calibration_mae_ucb95,ood_mae_all,ood_coverage,ood_retained_mae,risk_violation,ood_spearman,calibration_aurc,ood_aurc
log_kvrh,other,1,20260725,492cabb52a18b994,ensemble_std,0.15,4448,1135,5404,True,0.11477484775229248,0.879295154185022,0.14108808302124237,0.14821545485577897,0.250369796466044,0.7303849000740192,0.20662395865678015,0.05662395865678016,0.40971667777927784,0.1101942267384116,0.19302113152221467
log_kvrh,other,1,20260725,492cabb52a18b994,descriptor_distance,0.15,4448,1135,5404,False,,0.0,,,0.250369796466044,0.0,,,0.11172839829751968,0.1569500053759183,0.2264069709523582
log_kvrh,other,1,20260725,492cabb52a18b994,equal_rank_hybrid,0.15,4448,1135,5404,True,0.620704845814978,0.7198237885462555,0.13631217004172178,0.14461826183967105,0.250369796466044,0.10473723168023687,0.15240442561086914,0.0024044256108691486,0.4075252755759382,0.12576574644576619,0.19115963314502335
log_kvrh,other,2,20260726,492cabb52a18b994,ensemble_std,0.15,4435,1148,5404,True,0.08823369573553964,0.8196864111498258,0.1392723901659379,0.14785895065996302,0.24120026741998618,0.7113249444855663,0.2191036601174051,0.0691036601174051,0.24654766728868666,0.11174124859388351,0.20321948658260064
log_kvrh,other,2,20260726,492cabb52a18b994,descriptor_distance,0.15,4435,1148,5404,False,,0.0,,,0.24120026741998618,0.0,,,0.10411252309798985,0.17301953913992835,0.2192925264713057
log_kvrh,other,2,20260726,492cabb52a18b994,equal_rank_hybrid,0.15,4435,1148,5404,True,0.5888501742160279,0.6994773519163763,0.1395459712366922,0.14771979037534905,0.24120026741998618,0.08456698741672834,0.14985661209577777,-0.0001433879042222197,0.25665425048156304,0.12267318208585391,0.19887579883134243
log_kvrh,other,3,20260727,492cabb52a18b994,ensemble_std,0.15,4503,1080,5404,True,0.0635187740199378,0.6796296296296296,0.13887752946624587,0.14937544613810907,0.2712188589158889,0.39341228719467064,0.213977015582593,0.063977015582593,0.32940200145540766,0.13025512752121376,0.21748781460125274
log_kvrh,other,3,20260727,492cabb52a18b994,descriptor_distance,0.15,4503,1080,5404,False,,0.0,,,0.2712188589158889,0.0,,,0.13081960925743094,0.1634858519305831,0.2399781350696537
log_kvrh,other,3,20260727,492cabb52a18b994,equal_rank_hybrid,0.15,4503,1080,5404,True,0.525,0.5194444444444445,0.1373890141607393,0.14883906893907298,0.2712188589158889,0.02609178386380459,0.14082067796255907,-0.009179322037440929,0.348125992873832,0.1343002464433658,0.21252541451299195
log_kvrh,other,4,20260728,492cabb52a18b994,ensemble_std,0.15,4492,1091,5404,True,0.14185827345421873,0.9395050412465628,0.14051063065716718,0.14810738012847222,0.2689168713032276,0.9435603256846781,0.2615222835840523,0.11152228358405228,0.36108767473990966,0.09983844744893797,0.21028848798645183
log_kvrh,other,4,20260728,492cabb52a18b994,descriptor_distance,0.15,4492,1091,5404,False,,0.0,,,0.2689168713032276,0.0,,,0.10221192904736237,0.14948234363124246,0.24331914268432656
log_kvrh,other,4,20260728,492cabb52a18b994,equal_rank_hybrid,0.15,4492,1091,5404,True,0.8331805682859761,0.9395050412465628,0.14187315197226819,0.14959830745395392,0.2689168713032276,0.557179866765359,0.2143476109319654,0.0643476109319654,0.37050854073408535,0.11078667646210533,0.2068781484065053
