task,shift_type,holdout,repeat,policy,epsilon,retained_mae,mae_ci_low,mae_ci_high,violation_ci_low,violation_ci_high,n_retained,n_groups_retained
log_kvrh,element,Li,3,rf_distance_hybrid,0.15,0.14942514269737128,0.1395070139710761,0.15886881601489544,-0.0104929860289239,0.008868816014895448,893,772
log_kvrh,element,Li,3,rf_ensemble_std,0.15,0.14942514269737128,0.14049162245996283,0.16022553072822845,-0.009508377540037166,0.01022553072822846,893,772
log_kvrh,element,Li,4,descriptor_distance,0.15,0.15042087589787762,0.1398323380198799,0.1616220236522034,-0.01016766198012009,0.011622023652203411,893,772
log_kvrh,element,Li,4,quantile_width,0.15,0.15728220802210896,0.14624473464403706,0.16800530925439605,-0.0037552653559629334,0.018005309254396057,893,772
log_kvrh,element,Li,4,rf_distance_hybrid,0.15,0.15042087589787762,0.1417176517060905,0.1605142731477277,-0.008282348293909503,0.01051427314772771,893,772
log_kvrh,element,Li,4,rf_ensemble_std,0.15,0.15042087589787762,0.14193760806130698,0.1619227553490908,-0.008062391938693014,0.011922755349090819,893,772
log_kvrh,element,Li,5,descriptor_distance,0.15,0.15290390375984383,0.14184287599035025,0.16338870487730378,-0.008157124009649741,0.013388704877303786,893,772
log_kvrh,element,Li,5,quantile_width,0.15,0.16614105108187532,0.1553834551286144,0.17593900878082724,0.005383455128614406,0.02593900878082725,893,772
log_kvrh,element,Li,5,rf_distance_hybrid,0.15,0.15290390375984383,0.14211231901288077,0.16473194404661226,-0.007887680987119228,0.014731944046612266,893,772
log_kvrh,element,Li,5,rf_ensemble_std,0.15,0.15290390375984383,0.14322021403210614,0.1643484755971062,-0.006779785967893859,0.014348475597106197,893,772
log_kvrh,element,Li,6,descriptor_distance,0.15,0.15388376638810644,0.14283057505066774,0.16478314635469657,-0.007169424949332259,0.014783146354696575,893,772
log_kvrh,element,Li,6,quantile_width,0.15,0.16557613997605578,0.15556181463893826,0.17991586959724315,0.005561814638938262,0.029915869597243155,893,772
log_kvrh,element,Li,6,rf_distance_hybrid,0.15,0.15388376638810644,0.14322606301944613,0.1636804314164521,-0.0067739369805538685,0.013680431416452116,893,772
log_kvrh,element,Li,6,rf_ensemble_std,0.15,0.1536367410793253,0.14313710359533804,0.1635314828436012,-0.00686289640466195,0.0135314828436012,892,771
log_kvrh,element,Li,7,descriptor_distance,0.15,0.15108214970568246,0.14195218340228627,0.1632024482111136,-0.008047816597713725,0.013202448211113604,893,772
log_kvrh,element,Li,7,quantile_width,0.15,0.1643554296034711,0.15214708990357811,0.17475248096779428,0.00214708990357812,0.024752480967794283,893,772
log_kvrh,element,Li,7,rf_distance_hybrid,0.15,0.15108214970568246,0.14079448381758153,0.16195045881416645,-0.009205516182418466,0.011950458814166454,893,772
log_kvrh,element,Li,7,rf_ensemble_std,0.15,0.15108214970568246,0.1405286696258608,0.161739026837931,-0.009471330374139192,0.011739026837931016,893,772
log_kvrh,element,Li,8,descriptor_distance,0.15,0.15375868708246737,0.1448362823636686,0.16549448341103037,-0.005163717636331389,0.01549448341103038,893,772
