task,shift_type,holdout,repeat,policy,epsilon,n_train,n_calibration,n_ood,policy_constructed,calibration_coverage,calibration_ucb95,ood_coverage,ood_retained_mae,risk_violation,ood_spearman,shift_median_distance,threshold
expt_gap,cluster,C2,2,quantile_width,0.5,3206,802,596,True,0.7593516209476309,0.46288505747126435,0.9832214765100671,1.8037372013651878,1.3037372013651878,0.41100744941599027,7.210254438427018,2.4904839572575233
expt_gap,cluster,C2,2,descriptor_distance,0.5,3206,802,596,True,0.2805486284289277,0.4897048457118534,0.0,,,-0.06414505432944138,7.210254438427018,2.1249966598363605
expt_gap,cluster,C2,2,rf_distance_hybrid,0.5,3206,802,596,True,0.9588528678304239,0.48902694155774273,0.1493288590604027,1.5668959344530864,1.0668959344530864,-0.12284799880874696,7.210254438427018,0.8054862842892768
expt_gap,cluster,C3,0,rf_ensemble_std,0.5,1851,465,2288,True,0.47956989247311826,0.4634022520887148,0.270541958041958,0.5704525100996357,0.07045251009963571,0.6775641313248096,11.992477904051476,0.21612627066165005
expt_gap,cluster,C3,0,quantile_width,0.5,1851,465,2288,False,0.0,,0.0,,,0.44042795248781624,11.992477904051476,
expt_gap,cluster,C3,0,descriptor_distance,0.5,1851,465,2288,False,0.0,,0.0,,,0.0037073961535609634,11.992477904051476,
expt_gap,cluster,C3,0,rf_distance_hybrid,0.5,1851,465,2288,True,0.4989247311827957,0.49835218982757307,0.0034965034965034965,0.4462376207299429,-0.053762379270057115,0.6766892348819548,11.992477904051476,0.48709677419354835
expt_gap,cluster,C3,1,rf_ensemble_std,0.5,1852,464,2288,True,0.5991379310344828,0.4949183436365582,0.22377622377622378,0.49365528314494844,-0.006344716855051558,0.5562626529183323,12.096055097115956,0.25459482630932245
expt_gap,cluster,C3,1,quantile_width,0.5,1852,464,2288,True,0.5991379310344828,0.4755360332403488,0.4781468531468531,0.4767554718838795,-0.02324452811612049,0.6612269762721564,12.096055097115956,2.7263111542511873
expt_gap,cluster,C3,1,descriptor_distance,0.5,1852,464,2288,False,0.0,,0.0,,,0.07019932444191257,12.096055097115956,
expt_gap,cluster,C3,1,rf_distance_hybrid,0.5,1852,464,2288,True,0.5193965517241379,0.49169713551790395,0.01486013986013986,0.21968074779309266,-0.28031925220690734,0.5618668156654018,12.096055097115956,0.5118534482758621
expt_gap,cluster,C3,2,rf_ensemble_std,0.5,1853,463,2288,True,0.6393088552915767,0.47496642471725137,0.42045454545454547,0.8495024308874886,0.34950243088748856,0.48127715121567377,12.021107136493821,0.3035686020681232
expt_gap,cluster,C3,2,quantile_width,0.5,1853,463,2288,True,0.5593952483801296,0.4996346518241907,0.4243881118881119,0.3858898525591971,-0.11411014744080289,0.5184614190310448,12.021107136493821,2.5470886066889635
expt_gap,cluster,C3,2,descriptor_distance,0.5,1853,463,2288,False,0.0,,0.0,,,0.08370231782940388,12.021107136493821,
expt_gap,cluster,C3,2,rf_distance_hybrid,0.5,1853,463,2288,True,0.5788336933045356,0.4987653427402497,0.006993006993006993,0.687855915663609,0.18785591566360904,0.47883024059367724,12.021107136493821,0.5442764578833693
log_kvrh,element,O,0,rf_ensemble_std,0.15,7031,1772,2184,True,1.0,0.11020257330615246,1.0,0.24463813269911877,0.09463813269911878,0.019793370059535773,4.486468437196725,0.3383257976704809
log_kvrh,element,O,0,quantile_width,0.15,7031,1772,2184,True,1.0,0.10665057280385713,1.0,0.27448825247780295,0.12448825247780296,-0.040935317295869654,4.486468437196725,1.3760601878747851
log_kvrh,element,O,0,descriptor_distance,0.15,7031,1772,2184,True,1.0,0.10952617604122906,1.0,0.24463813269911877,0.09463813269911878,0.06646300808460609,4.486468437196725,21.63582740746411
log_kvrh,element,O,0,rf_distance_hybrid,0.15,7031,1772,2184,True,1.0,0.10912789332157033,0.9986263736263736,0.24449346287580853,0.09449346287580854,0.03981769391075588,4.486468437196725,0.9779909706546275
log_kvrh,element,O,1,rf_ensemble_std,0.15,7055,1748,2184,True,1.0,0.10837143135265212,0.9990842490842491,0.246790796493119,0.096790796493119,-0.05626323784104115,4.474689412691468,0.25949118950562744
log_kvrh,element,O,1,quantile_width,0.15,7055,1748,2184,True,1.0,0.10432005743993551,1.0,0.27457096189655855,0.12457096189655856,-0.09358443362466416,4.474689412691468,1.298140650307202
log_kvrh,element,O,1,descriptor_distance,0.15,7055,1748,2184,True,1.0,0.10840140498954626,1.0,0.24688124222278685,0.09688124222278685,0.08366032694708207,4.474689412691468,10.462789446261178
log_kvrh,element,O,1,rf_distance_hybrid,0.15,7055,1748,2184,True,1.0,0.1082384271306065,1.0,0.24688124222278685,0.09688124222278685,-0.006372636322536861,4.474689412691468,0.9848398169336384
log_kvrh,element,O,2,rf_ensemble_std,0.15,7037,1766,2184,True,1.0,0.12183518067466396,1.0,0.24375390676664085,0.09375390676664086,-0.05796830910640822,4.475763348032986,0.3005550722067097
log_kvrh,element,O,2,quantile_width,0.15,7037,1766,2184,True,1.0,0.11738734116470301,1.0,0.2761530833192415,0.1261530833192415,-0.016304907788118675,4.475763348032986,1.4015119947625827
log_kvrh,element,O,2,descriptor_distance,0.15,7037,1766,2184,True,1.0,0.12208276344512335,1.0,0.24375390676664085,0.09375390676664086,0.061929701673396495,4.475763348032986,12.339688324973574
log_kvrh,element,O,2,rf_distance_hybrid,0.15,7037,1766,2184,True,1.0,0.12212516997109388,0.9995421245421245,0.2437785096119512,0.0937785096119512,-0.01729229289754168,4.475763348032986,0.9878255945639864
log_kvrh,element,Li,0,rf_ensemble_std,0.15,8058,2022,907,True,1.0,0.12091179360659496,0.9988974641675854,0.15850511669376158,0.008505116693761583,0.24070678537829332,2.726159276031994,0.26932608557240745
log_kvrh,element,Li,0,quantile_width,0.15,8058,2022,907,True,1.0,0.1210284093472286,1.0,0.164810211949524,0.014810211949524005,0.03201855468087161,2.726159276031994,1.4253395133755542
log_kvrh,element,Li,0,descriptor_distance,0.15,8058,2022,907,True,1.0,0.12257856089072769,1.0,0.1593369877771556,0.009336987777155609,0.29132376172414787,2.726159276031994,11.324077797981957
